League;Date;Get;Pay;Value;Confidence
Abyss;2017-12-08;Chromatic Orb;Chaos Orb;1.29067;Low
Abyss;2017-12-09;Chromatic Orb;Chaos Orb;0.38143;High
Abyss;2017-12-10;Chromatic Orb;Chaos Orb;0.06158;High
Abyss;2017-12-11;Chromatic Orb;Chaos Orb;0.07078;High
Abyss;2017-12-12;Chromatic Orb;Chaos Orb;0.07772;High
Abyss;2017-12-13;Chromatic Orb;Chaos Orb;0.07616;High
Abyss;2017-12-14;Chromatic Orb;Chaos Orb;0.07386;High
Abyss;2017-12-15;Chromatic Orb;Chaos Orb;0.07122;High
Abyss;2017-12-16;Chromatic Orb;Chaos Orb;0.07023;High
Abyss;2017-12-17;Chromatic Orb;Chaos Orb;0.06905;High
Abyss;2017-12-18;Chromatic Orb;Chaos Orb;0.06658;High
Abyss;2017-12-19;Chromatic Orb;Chaos Orb;0.06376;High
Abyss;2017-12-20;Chromatic Orb;Chaos Orb;0.06098;High
Abyss;2017-12-21;Chromatic Orb;Chaos Orb;0.06285;High
Abyss;2017-12-22;Chromatic Orb;Chaos Orb;0.06117;High
Abyss;2017-12-23;Chromatic Orb;Chaos Orb;0.0619;High
Abyss;2017-12-24;Chromatic Orb;Chaos Orb;0.06085;High
Abyss;2017-12-25;Chromatic Orb;Chaos Orb;0.0608;High
Abyss;2017-12-26;Chromatic Orb;Chaos Orb;0.05981;High
Abyss;2017-12-27;Chromatic Orb;Chaos Orb;0.06304;High
Abyss;2017-12-28;Chromatic Orb;Chaos Orb;0.06846;High
Abyss;2017-12-29;Chromatic Orb;Chaos Orb;0.08103;High
Abyss;2017-12-30;Chromatic Orb;Chaos Orb;0.09017;High
Abyss;2017-12-31;Chromatic Orb;Chaos Orb;0.09175;High
Abyss;2018-01-01;Chromatic Orb;Chaos Orb;0.09046;High
Abyss;2018-01-02;Chromatic Orb;Chaos Orb;0.08764;High
Abyss;2018-01-03;Chromatic Orb;Chaos Orb;0.08358;High
Abyss;2018-01-04;Chromatic Orb;Chaos Orb;0.08658;High
Abyss;2018-01-05;Chromatic Orb;Chaos Orb;0.08985;High
Abyss;2018-01-06;Chromatic Orb;Chaos Orb;0.09569;High
Abyss;2018-01-07;Chromatic Orb;Chaos Orb;0.0955;High
Abyss;2018-01-08;Chromatic Orb;Chaos Orb;0.09491;High
Abyss;2018-01-09;Chromatic Orb;Chaos Orb;0.09223;High
Abyss;2018-01-10;Chromatic Orb;Chaos Orb;0.09096;High
Abyss;2018-01-11;Chromatic Orb;Chaos Orb;0.09084;High
Abyss;2018-01-12;Chromatic Orb;Chaos Orb;0.09133;High
Abyss;2018-01-13;Chromatic Orb;Chaos Orb;0.09427;High
Abyss;2018-01-14;Chromatic Orb;Chaos Orb;0.09764;High
Abyss;2018-01-15;Chromatic Orb;Chaos Orb;0.09715;High
Abyss;2018-01-16;Chromatic Orb;Chaos Orb;0.09734;High
Abyss;2018-01-17;Chromatic Orb;Chaos Orb;0.09739;High
Abyss;2018-01-18;Chromatic Orb;Chaos Orb;0.09678;High
Abyss;2018-01-19;Chromatic Orb;Chaos Orb;0.09773;High
Abyss;2018-01-20;Chromatic Orb;Chaos Orb;0.0995;High
Abyss;2018-01-21;Chromatic Orb;Chaos Orb;0.10154;High
Abyss;2018-01-22;Chromatic Orb;Chaos Orb;0.10425;High
Abyss;2018-01-23;Chromatic Orb;Chaos Orb;0.10342;High
Abyss;2018-01-24;Chromatic Orb;Chaos Orb;0.10826;High
Abyss;2018-01-25;Chromatic Orb;Chaos Orb;0.10836;High
Abyss;2018-01-26;Chromatic Orb;Chaos Orb;0.10922;High
Abyss;2018-01-27;Chromatic Orb;Chaos Orb;0.11038;High
Abyss;2018-01-28;Chromatic Orb;Chaos Orb;0.11094;High
Abyss;2018-01-29;Chromatic Orb;Chaos Orb;0.1097;High
Abyss;2018-01-30;Chromatic Orb;Chaos Orb;0.10844;High
Abyss;2018-01-31;Chromatic Orb;Chaos Orb;0.1066;High
Abyss;2018-02-01;Chromatic Orb;Chaos Orb;0.1064;High
Abyss;2018-02-02;Chromatic Orb;Chaos Orb;0.10342;High
Abyss;2018-02-03;Chromatic Orb;Chaos Orb;0.1014;High
Abyss;2018-02-04;Chromatic Orb;Chaos Orb;0.10068;High
Abyss;2018-02-05;Chromatic Orb;Chaos Orb;0.10183;High
Abyss;2018-02-06;Chromatic Orb;Chaos Orb;0.10028;High
Abyss;2018-02-07;Chromatic Orb;Chaos Orb;0.10062;High
Abyss;2018-02-08;Chromatic Orb;Chaos Orb;0.09971;High
Abyss;2018-02-09;Chromatic Orb;Chaos Orb;0.09634;High
Abyss;2018-02-10;Chromatic Orb;Chaos Orb;0.09586;High
Abyss;2018-02-11;Chromatic Orb;Chaos Orb;0.0959;High
Abyss;2018-02-12;Chromatic Orb;Chaos Orb;0.09529;High
Abyss;2018-02-13;Chromatic Orb;Chaos Orb;0.09341;High
Abyss;2018-02-14;Chromatic Orb;Chaos Orb;0.09489;High
Abyss;2018-02-15;Chromatic Orb;Chaos Orb;0.09627;High
Abyss;2018-02-16;Chromatic Orb;Chaos Orb;0.09636;High
Abyss;2018-02-17;Chromatic Orb;Chaos Orb;0.09925;High
Abyss;2018-02-18;Chromatic Orb;Chaos Orb;0.09812;High
Abyss;2018-02-19;Chromatic Orb;Chaos Orb;0.09677;High
Abyss;2018-02-20;Chromatic Orb;Chaos Orb;0.09647;High
Abyss;2018-02-21;Chromatic Orb;Chaos Orb;0.09632;High
Abyss;2018-02-22;Chromatic Orb;Chaos Orb;0.09459;High
Abyss;2018-02-23;Chromatic Orb;Chaos Orb;0.09557;High
Abyss;2018-02-24;Chromatic Orb;Chaos Orb;0.09412;High
Abyss;2018-02-25;Chromatic Orb;Chaos Orb;0.09425;High
Abyss;2018-02-26;Chromatic Orb;Chaos Orb;0.09479;High
Abyss;2017-12-08;Armourer's Scrap;Chaos Orb;1.09689;Low
Abyss;2017-12-09;Armourer's Scrap;Chaos Orb;0.47577;High
Abyss;2017-12-10;Armourer's Scrap;Chaos Orb;0.04481;High
