League;Date;Get;Pay;Value;Confidence
Breach;2016-12-02;Silver Coin;Chaos Orb;0.96667;High
Breach;2016-12-03;Silver Coin;Chaos Orb;0.21937;High
Breach;2016-12-04;Silver Coin;Chaos Orb;0.18339;High
Breach;2016-12-05;Silver Coin;Chaos Orb;0.23571;High
Breach;2016-12-06;Silver Coin;Chaos Orb;0.26395;High
Breach;2016-12-07;Silver Coin;Chaos Orb;0.30227;High
Breach;2016-12-08;Silver Coin;Chaos Orb;0.33698;High
Breach;2016-12-09;Silver Coin;Chaos Orb;0.38825;High
Breach;2016-12-10;Silver Coin;Chaos Orb;0.37404;High
Breach;2016-12-11;Silver Coin;Chaos Orb;0.37919;High
Breach;2016-12-12;Silver Coin;Chaos Orb;0.37037;High
Breach;2016-12-13;Silver Coin;Chaos Orb;0.36655;High
Breach;2016-12-14;Silver Coin;Chaos Orb;0.37924;High
Breach;2016-12-15;Silver Coin;Chaos Orb;0.37254;High
Breach;2016-12-16;Silver Coin;Chaos Orb;0.36581;High
Breach;2016-12-17;Silver Coin;Chaos Orb;0.36052;High
Breach;2016-12-18;Silver Coin;Chaos Orb;0.36059;High
Breach;2016-12-19;Silver Coin;Chaos Orb;0.36588;High
Breach;2016-12-20;Silver Coin;Chaos Orb;0.35097;High
Breach;2016-12-21;Silver Coin;Chaos Orb;0.33796;High
Breach;2016-12-22;Silver Coin;Chaos Orb;0.32496;High
Breach;2016-12-23;Silver Coin;Chaos Orb;0.32288;High
Breach;2016-12-24;Silver Coin;Chaos Orb;0.31841;High
Breach;2016-12-25;Silver Coin;Chaos Orb;0.30753;High
Breach;2016-12-26;Silver Coin;Chaos Orb;0.3002;High
Breach;2016-12-27;Silver Coin;Chaos Orb;0.28584;High
Breach;2016-12-28;Silver Coin;Chaos Orb;0.28541;High
Breach;2016-12-29;Silver Coin;Chaos Orb;0.27994;High
Breach;2016-12-30;Silver Coin;Chaos Orb;0.27089;High
Breach;2016-12-31;Silver Coin;Chaos Orb;0.26089;High
Breach;2017-01-01;Silver Coin;Chaos Orb;0.25398;High
Breach;2017-01-02;Silver Coin;Chaos Orb;0.24847;High
Breach;2017-01-03;Silver Coin;Chaos Orb;0.24673;High
Breach;2017-01-04;Silver Coin;Chaos Orb;0.24168;High
Breach;2017-01-05;Silver Coin;Chaos Orb;0.23213;High
Breach;2017-01-06;Silver Coin;Chaos Orb;0.21795;High
Breach;2017-01-07;Silver Coin;Chaos Orb;0.20717;High
