League;Date;Get;Pay;Value;Confidence
Harbinger;2017-08-04;Armourer's Scrap;Chaos Orb;0.55833;Low
Harbinger;2017-08-05;Armourer's Scrap;Chaos Orb;0.11859;High
Harbinger;2017-08-06;Armourer's Scrap;Chaos Orb;0.0321;High
Harbinger;2017-08-07;Armourer's Scrap;Chaos Orb;0.02704;High
Harbinger;2017-08-08;Armourer's Scrap;Chaos Orb;0.02575;High
Harbinger;2017-08-09;Armourer's Scrap;Chaos Orb;0.02463;High
Harbinger;2017-08-10;Armourer's Scrap;Chaos Orb;0.02304;High
Harbinger;2017-08-11;Armourer's Scrap;Chaos Orb;0.02049;High
Harbinger;2017-08-12;Armourer's Scrap;Chaos Orb;0.01853;High
Harbinger;2017-08-13;Armourer's Scrap;Chaos Orb;0.01856;High
Harbinger;2017-08-14;Armourer's Scrap;Chaos Orb;0.01818;High
Harbinger;2017-08-15;Armourer's Scrap;Chaos Orb;0.01767;High
Harbinger;2017-08-16;Armourer's Scrap;Chaos Orb;0.01631;High
Harbinger;2017-08-17;Armourer's Scrap;Chaos Orb;0.01521;High
Harbinger;2017-08-18;Armourer's Scrap;Chaos Orb;0.01472;High
Harbinger;2017-08-19;Armourer's Scrap;Chaos Orb;0.01411;High
Harbinger;2017-08-20;Armourer's Scrap;Chaos Orb;0.01426;High
Harbinger;2017-08-21;Armourer's Scrap;Chaos Orb;0.01354;High
Harbinger;2017-08-22;Armourer's Scrap;Chaos Orb;0.01328;High
Harbinger;2017-08-23;Armourer's Scrap;Chaos Orb;0.01308;High
Harbinger;2017-08-24;Armourer's Scrap;Chaos Orb;0.0125;High
Harbinger;2017-08-25;Armourer's Scrap;Chaos Orb;0.01257;High
Harbinger;2017-08-26;Armourer's Scrap;Chaos Orb;0.01217;High
Harbinger;2017-08-27;Armourer's Scrap;Chaos Orb;0.01101;High
Harbinger;2017-08-28;Armourer's Scrap;Chaos Orb;0.01103;High
Harbinger;2017-08-29;Armourer's Scrap;Chaos Orb;0.01089;High
Harbinger;2017-08-30;Armourer's Scrap;Chaos Orb;0.01101;High
Harbinger;2017-08-31;Armourer's Scrap;Chaos Orb;0.01105;High
Harbinger;2017-09-01;Armourer's Scrap;Chaos Orb;0.0106;High
Harbinger;2017-09-02;Armourer's Scrap;Chaos Orb;0.01011;High
Harbinger;2017-09-03;Armourer's Scrap;Chaos Orb;0.01035;High
Harbinger;2017-09-04;Armourer's Scrap;Chaos Orb;0.01;High
Harbinger;2017-09-05;Armourer's Scrap;Chaos Orb;0.01008;High
Harbinger;2017-09-06;Armourer's Scrap;Chaos Orb;0.01001;High
Harbinger;2017-09-07;Armourer's Scrap;Chaos Orb;0.01021;High
Harbinger;2017-09-08;Armourer's Scrap;Chaos Orb;0.01013;High
Harbinger;2017-09-09;Armourer's Scrap;Chaos Orb;0.01035;High
Harbinger;2017-09-10;Armourer's Scrap;Chaos Orb;0.00981;High
Harbinger;2017-09-11;Armourer's Scrap;Chaos Orb;0.00979;High
Harbinger;2017-09-12;Armourer's Scrap;Chaos Orb;0.01056;High
Harbinger;2017-09-13;Armourer's Scrap;Chaos Orb;0.0114;High
Harbinger;2017-09-14;Armourer's Scrap;Chaos Orb;0.01058;High
Harbinger;2017-09-15;Armourer's Scrap;Chaos Orb;0.01308;High
Harbinger;2017-09-16;Armourer's Scrap;Chaos Orb;0.01304;High
Harbinger;2017-09-17;Armourer's Scrap;Chaos Orb;0.01326;High
