League;Date;Get;Pay;Value;Confidence
Incursion;2018-06-01;Orb of Chance;Chaos Orb;0.31468;High
Incursion;2018-06-02;Orb of Chance;Chaos Orb;0.125;High
Incursion;2018-06-03;Orb of Chance;Chaos Orb;0.08337;High
Incursion;2018-06-04;Orb of Chance;Chaos Orb;0.1;High
Incursion;2018-06-05;Orb of Chance;Chaos Orb;0.1;High
Incursion;2018-06-06;Orb of Chance;Chaos Orb;0.10493;High
Incursion;2018-06-07;Orb of Chance;Chaos Orb;0.1045;High
Incursion;2018-06-08;Orb of Chance;Chaos Orb;0.1;High
Incursion;2018-06-09;Orb of Chance;Chaos Orb;0.10478;High
Incursion;2018-06-10;Orb of Chance;Chaos Orb;0.09639;High
Incursion;2018-06-11;Orb of Chance;Chaos Orb;0.09524;High
Incursion;2018-06-12;Orb of Chance;Chaos Orb;0.09091;High
Incursion;2018-06-13;Orb of Chance;Chaos Orb;0.09091;High
Incursion;2018-06-14;Orb of Chance;Chaos Orb;0.092;High
Incursion;2018-06-15;Orb of Chance;Chaos Orb;0.09524;High
Incursion;2018-06-16;Orb of Chance;Chaos Orb;0.09254;High
Incursion;2018-06-17;Orb of Chance;Chaos Orb;0.09091;High
Incursion;2018-06-18;Orb of Chance;Chaos Orb;0.09259;High
Incursion;2018-06-19;Orb of Chance;Chaos Orb;0.09599;High
Incursion;2018-06-20;Orb of Chance;Chaos Orb;0.09709;High
Incursion;2018-06-21;Orb of Chance;Chaos Orb;0.09927;High
Incursion;2018-06-22;Orb of Chance;Chaos Orb;0.09901;High
Incursion;2018-06-23;Orb of Chance;Chaos Orb;0.09907;High
Incursion;2018-06-24;Orb of Chance;Chaos Orb;0.09836;High
Incursion;2018-06-25;Orb of Chance;Chaos Orb;0.09901;High
Incursion;2018-06-26;Orb of Chance;Chaos Orb;0.09612;High
Incursion;2018-06-27;Orb of Chance;Chaos Orb;0.1;High
Incursion;2018-06-28;Orb of Chance;Chaos Orb;0.09985;High
Incursion;2018-06-29;Orb of Chance;Chaos Orb;0.1;High
Incursion;2018-06-30;Orb of Chance;Chaos Orb;0.09835;High
Incursion;2018-07-01;Orb of Chance;Chaos Orb;0.09528;High
Incursion;2018-07-02;Orb of Chance;Chaos Orb;0.09524;High
Incursion;2018-07-03;Orb of Chance;Chaos Orb;0.09709;High
