League;Date;Get;Pay;Value;Confidence
Legacy;2017-03-03;Chromatic Orb;Chaos Orb;0.7457;High
Legacy;2017-03-04;Chromatic Orb;Chaos Orb;0.04272;High
Legacy;2017-03-05;Chromatic Orb;Chaos Orb;0.05084;High
Legacy;2017-03-06;Chromatic Orb;Chaos Orb;0.07224;High
Legacy;2017-03-07;Chromatic Orb;Chaos Orb;0.08521;High
Legacy;2017-03-08;Chromatic Orb;Chaos Orb;0.09092;High
Legacy;2017-03-09;Chromatic Orb;Chaos Orb;0.09187;High
Legacy;2017-03-10;Chromatic Orb;Chaos Orb;0.09408;High
Legacy;2017-03-11;Chromatic Orb;Chaos Orb;0.09097;High
Legacy;2017-03-12;Chromatic Orb;Chaos Orb;0.08899;High
Legacy;2017-03-13;Chromatic Orb;Chaos Orb;0.08832;High
Legacy;2017-03-14;Chromatic Orb;Chaos Orb;0.08743;High
Legacy;2017-03-15;Chromatic Orb;Chaos Orb;0.08521;High
Legacy;2017-03-16;Chromatic Orb;Chaos Orb;0.0839;High
Legacy;2017-03-17;Chromatic Orb;Chaos Orb;0.08535;High
Legacy;2017-03-18;Chromatic Orb;Chaos Orb;0.08403;High
Legacy;2017-03-19;Chromatic Orb;Chaos Orb;0.08298;High
Legacy;2017-03-20;Chromatic Orb;Chaos Orb;0.08199;High
Legacy;2017-03-21;Chromatic Orb;Chaos Orb;0.08058;High
Legacy;2017-03-22;Chromatic Orb;Chaos Orb;0.07782;High
Legacy;2017-03-23;Chromatic Orb;Chaos Orb;0.07464;High
Legacy;2017-03-24;Chromatic Orb;Chaos Orb;0.07277;High
Legacy;2017-03-25;Chromatic Orb;Chaos Orb;0.07145;High
Legacy;2017-03-26;Chromatic Orb;Chaos Orb;0.07155;High
Legacy;2017-03-27;Chromatic Orb;Chaos Orb;0.07151;High
Legacy;2017-03-28;Chromatic Orb;Chaos Orb;0.07134;High
Legacy;2017-03-29;Chromatic Orb;Chaos Orb;0.06912;High
Legacy;2017-03-30;Chromatic Orb;Chaos Orb;0.06677;High
Legacy;2017-03-31;Chromatic Orb;Chaos Orb;0.06526;High
Legacy;2017-04-01;Chromatic Orb;Chaos Orb;0.06269;High
